count,quadratic_cost
638,0.26817602
639,0.26901737
640,0.26986
641,0.27070397
642,0.27154928
643,0.27239588
644,0.2732438
645,0.27409303
646,0.2749436
647,0.2757955
648,0.27664867
649,0.2775032
650,0.27835903
651,0.27921617
652,0.28007463
653,0.28093442
654,0.28179553
655,0.28265795
656,0.28352168
657,0.28438672
658,0.2852531
659,0.2861208
660,0.2869898
661,0.28786013
662,0.28873175
663,0.28960472
664,0.290479
665,0.2913546
666,0.2922315
667,0.29310974
668,0.2939893
669,0.29487017
670,0.29575235
671,0.29663584
672,0.29752067
673,0.2984068
674,0.29929426
675,0.30018303
676,0.3010731
677,0.30196452
678,0.30285725
679,0.3037513
680,0.30464664
681,0.30554333
682,0.30644134
683,0.30734065
684,0.30824128
685,0.30914322
686,0.3100465
687,0.31095108
688,0.31185699
689,0.3127642
690,0.31367272
691,0.3145826
692,0.31549376
693,0.31640625
694,0.31732005
695,0.3182352
696,0.31915164
697,0.3200694
698,0.32098848
699,0.32190886
700,0.3228306
701,0.32375363
702,0.32467797
703,0.32560363
704,0.3265306
705,0.32745892
706,0.32838854
707,0.32931948
708,0.33025172
709,0.3311853
710,0.33212018
711,0.3330564
712,0.33399394
713,0.33493277
714,0.33587295
715,0.3368144
716,0.3377572
717,0.33870134
718,0.33964676
719,0.34059352
720,0.3415416
721,0.34249097
722,0.34344167
723,0.34439367
724,0.34534702
725,0.34630167
726,0.34725764
727,0.34821495
728,0.34917355
729,0.35013348
730,0.35109472
731,0.35205728
732,0.35302117
733,0.35398635
734,0.35495287
735,0.3559207
736,0.35688987
737,0.35786033
738,0.35883212
739,0.35980523
740,0.36077964
741,0.36175537
742,0.36273244
743,0.36371082
744,0.3646905
745,0.36567152
746,0.36665383
747,0.3676375
748,0.36862245
749,0.36960873
750,0.37059632
751,0.37158525
752,0.37257546
753,0.37356701
754,0.3745599
755,0.37555408
756,0.3765496
757,0.3775464
758,0.37854454
759,0.37954402
760,0.38054478
761,0.38154688
762,0.38255027
763,0.38355502
764,0.38456106
765,0.3855684
766,0.3865771
767,0.3875871
768,0.3885984
769,0.38961104
770,0.390625
771,0.39164028
772,0.39265686
773,0.39367476
774,0.39469397
775,0.39571452
776,0.39673638
777,0.39775956
778,0.39878404
779,0.39980987
780,0.40083697
781,0.40186542
782,0.4028952
783,0.40392628
784,0.40495867
785,0.4059924
786,0.40702742
787,0.40806377
788,0.40910146
789,0.41014042
790,0.41118073
791,0.41222236
792,0.41326532
793,0.41430956
794,0.41535515
795,0.41640204
796,0.41745025
797,0.41849977
798,0.41955063
799,0.4206028
800,0.42165625
801,0.42271107
802,0.42376718
803,0.42482463
804,0.42588338
805,0.42694345
806,0.42800483
807,0.42906752
808,0.43013155
809,0.4311969
810,0.43226355
811,0.43333152
812,0.43440083
813,0.43547145
814,0.43654338
815,0.43761662
816,0.43869117
817,0.43976706
818,0.44084427
819,0.44192278
820,0.4430026
821,0.44408378
822,0.44516623
823,0.44625002
824,0.44733512
825,0.44842157
826,0.4495093
827,0.45059836
828,0.45168874
829,0.45278043
830,0.45387343
831,0.45496777
832,0.45606342
833,0.45716038
834,0.45825866
835,0.45935827
836,0.46045917
837,0.4615614
838,0.46266496
839,0.46376985
840,0.46487603
841,0.46598354
842,0.46709237
843,0.4682025
844,0.46931398
845,0.47042674
846,0.47154084
847,0.47265625
848,0.47377297
849,0.47489104
850,0.47601038
851,0.47713107
852,0.47825307
853,0.4793764
854,0.48050103
855,0.481627
856,0.48275426
857,0.48388284
858,0.48501277
859,0.48614398
860,0.48727652
861,0.48841038
862,0.48954555
863,0.49068207
864,0.49181986
865,0.492959
866,0.49409944
867,0.49524122
868,0.4963843
869,0.4975287
870,0.49867442
871,0.49982145
872,0.5009698
873,0.5021195
874,0.50327045
875,0.5044228
876,0.50557643
877,0.50673133
878,0.5078876
879,0.5090452
880,0.5102041
881,0.5113643
882,0.5125258
883,0.5136887
884,0.5148528
885,0.51601833
886,0.51718515
887,0.5183532
888,0.51952267
889,0.5206934
890,0.5218655
891,0.5230389
892,0.5242136
893,0.5253896
894,0.526567
895,0.52774566
896,0.5289256
897,0.5301069
898,0.5312895
899,0.53247344
900,0.5336587
901,0.5348453
902,0.53603315
903,0.5372224
