count,linear_cost
221,0.17938311
222,0.18019481
223,0.18100649
224,0.18181819
225,0.18262987
226,0.18344156
227,0.18425325
228,0.18506494
229,0.18587662
230,0.18668832
231,0.1875
232,0.18831168
233,0.18912338
234,0.18993506
235,0.19074675
236,0.19155844
237,0.19237013
238,0.19318181
239,0.19399351
240,0.19480519
241,0.19561689
242,0.19642857
243,0.19724026
244,0.19805194
245,0.19886364
246,0.19967532
247,0.20048702
248,0.2012987
249,0.2021104
250,0.20292208
251,0.20373377
252,0.20454545
253,0.20535715
254,0.20616883
255,0.20698053
256,0.20779221
257,0.20860389
258,0.20941558
259,0.21022727
260,0.21103896
261,0.21185064
262,0.21266234
263,0.21347402
264,0.21428572
265,0.2150974
266,0.2159091
267,0.21672077
268,0.21753247
269,0.21834415
270,0.21915585
271,0.21996753
272,0.22077923
273,0.2215909
274,0.2224026
275,0.22321428
276,0.22402598
277,0.22483766
278,0.22564936
279,0.22646104
280,0.22727273
281,0.22808442
282,0.22889611
283,0.22970779
284,0.23051947
285,0.23133117
286,0.23214285
287,0.23295455
288,0.23376623
289,0.23457792
290,0.2353896
291,0.2362013
292,0.23701298
293,0.23782468
294,0.23863636
295,0.23944806
296,0.24025974
297,0.24107143
298,0.24188311
299,0.24269481
300,0.24350649
301,0.24431819
302,0.24512987
303,0.24594156
304,0.24675325
305,0.24756494
306,0.24837662
307,0.24918832
308,0.25
309,0.2508117
310,0.25162336
311,0.25243506
312,0.25324675
313,0.25405845
314,0.25487012
315,0.2556818
316,0.2564935
317,0.2573052
318,0.25811687
319,0.25892857
320,0.25974026
321,0.26055196
322,0.26136363
323,0.26217532
324,0.26298702
325,0.2637987
326,0.26461038
327,0.26542208
328,0.26623377
329,0.26704547
330,0.26785713
331,0.26866883
332,0.26948053
333,0.27029222
334,0.2711039
335,0.27191558
336,0.27272728
337,0.27353895
338,0.27435064
339,0.27516234
340,0.27597404
341,0.2767857
342,0.2775974
343,0.2784091
344,0.2792208
345,0.28003246
346,0.28084415
347,0.28165585
348,0.28246754
349,0.2832792
350,0.2840909
351,0.2849026
352,0.2857143
353,0.28652596
354,0.28733766
355,0.28814936
356,0.28896105
357,0.28977272
358,0.29058442
359,0.2913961
360,0.29220778
361,0.29301947
362,0.29383117
363,0.29464287
364,0.29545453
365,0.29626623
366,0.29707792
367,0.29788962
368,0.2987013
369,0.29951298
370,0.30032468
371,0.30113637
372,0.30194804
373,0.30275974
374,0.30357143
375,0.30438313
376,0.3051948
377,0.3060065
378,0.3068182
