count,one_step_cost
1073,124.75624
1074,126.2847
1075,127.83175
1076,129.39752
1077,130.9823
1078,132.5864
1079,134.20998
1080,135.8532
1081,137.51636
1082,139.19975
1083,140.90361
1084,142.62805
1085,144.37344
1086,146.14008
1087,147.92815
1088,149.73784
1089,151.56949
1090,153.42342
1091,155.29985
1092,157.19894
1093,159.12108
1094,161.06682
1095,163.03584
1096,165.02873
1097,167.04587
1098,169.08745
1099,171.1537
1100,173.245
1101,175.36172
1102,177.5041
1103,179.67233
1104,181.86684
1105,184.08804
1106,186.33614
1107,188.61137
1108,190.91414
1109,193.2449
1110,195.6039
1111,197.99136
1112,200.40771
1113,202.85344
1114,205.32877
1115,207.83395
1116,210.36948
1117,212.93576
1118,215.53314
1119,218.16179
1120,220.8223
1121,223.5154
1122,226.24066
1123,228.99889
1124,231.7907
1125,234.61601
1126,237.47552
1127,240.36964
1128,243.29874
1129,246.26349
1130,249.26387
1131,252.30046
1132,255.37408
1133,258.48456
1134,261.63266
1135,264.81876
1136,268.0434
1137,271.30728
1138,274.6103
1139,277.95322
1140,281.33682
1141,284.76105
1142,288.22662
1143,291.73404
1144,295.2838
1145,298.87677
1146,302.5128
1147,306.19275
1148,309.91772
1149,313.6871
1150,317.50192
1151,321.36316
1152,325.2707
1153,329.2253
1154,333.22778
1155,337.2785
1156,341.3784
1157,345.52744
1158,349.72656
1159,353.97662
1160,358.27777
1161,362.63065
1162,367.03613
1163,371.49466
1164,376.00735
1165,380.57416
1166,385.19595
1167,389.87393
1168,394.6079
1169,399.39893
1170,404.24777
1171,409.155
1172,414.1218
1173,419.14807
1174,424.2349
1175,429.38388
1176,434.59402
1177,439.8671
1178,445.20395
1179,450.60483
1180,456.07068
1181,461.60242
1182,467.20074
1183,472.867
1184,478.60107
1185,484.40408
1186,490.27756
1187,496.22122
1188,502.23654
1189,508.32422
1190,514.4853
1191,520.72095
1192,527.03107
1193,533.41736
1194,539.8809
1195,546.42175
1196,553.04126
1197,559.74054
1198,566.5204
1199,573.3824
1200,580.32635
1201,587.3538
1202,594.4671
1203,601.66473
1204,608.949
1205,616.32135
1206,623.78186
1207,631.33215
1208,638.9732
1209,646.7062
1210,654.53265
1211,662.45264
1212,670.4679
1213,678.58014
1214,686.7893
1215,695.09705
1216,703.50476
1217,712.0135
1218,720.6251
1219,729.3397
1220,738.1589
1221,747.0847
1222,756.1171
1223,765.2582
1224,774.50903
1225,783.8709
1226,793.34607
1227,802.9343
1228,812.6377
1229,822.4592
1230,832.39716
1231,842.45435
1232,852.6332
